name,raw_review,date
Rodrigo Agostini,"Ótimo aplicativo , simples e muito fácil de lidar , caso você troque de dispositivo, é só baixar o aplicativo no celular atual , e vc poderá exercer suas atividades financeiras sem precisar voltar na agência... perfeito !!",12 de janeiro de 2020
Plinio Farias,"Extremamente útil e eficaz no meu dia a dia. Raramente vou a um caixa eletrônico ou a uma agência bancária para efetuar as transações de minha necessidade, graças a este aplicativo. Estou muito satisfeito em utilizá-lo.",22 de janeiro de 2020
Marcos Lesiuk,O sistema do Banco do Brasil vem melhorando muito. O aplicativo evoluiu muito e hoje não há necessidade do BB criar uma alternativa de banco ou conta digital. Pois as vantagens e serviço de ter uma conta aqui estão iguais ou melhores que as da concorrência.,23 de janeiro de 2020
Antonio Silverio Goncalves,Excelente o aplicativo. Melhorou demais a minha ligação com o BB. Resolvo todas as atividades bancárias sem a preocupação de ir à agência nos horários de expediente. Demais o aplicativo. Parabéns.,24 de janeiro de 2020
normasuely1 reis,"Boa tarde, tenho uma reclamação a fazer. Não consigo mais pagar minhas contas pelo aplicativo, depois que aparece o código de barras, eu digito o dia que vai vencer e aparece: CONTA PRIVATIVA. Você tem como me ajudar?",27 de janeiro de 2020
Alessandra Lobo,"Eu amo este aplicativo, e ele prático rápido só poderia ter um pouco mais de acesso para o correntistas, tem coisas que precisamos ir até o banco. Mas tirando isso aí gosto mto.",13 de janeiro de 2020
For Life Vegan,"Pessimo! Aparece uma mensagem de conta privativa e nao consigo usar meu dinheiro! Ja liguei para o banco e estou esperando a soluçao, mas ainda nada! Enquanto isso minhas contas atrasando! Quero ver se o Bb vai pagar os juros e os transtornos!",25 de janeiro de 2020
Cangaceiro CS,"O App é bom, porém o processo para validar os dados, como selfie e foto do documento é ruim, já enviei duas vezes e informa que não consegue visualizar, sendo que as imagens são muito nítidas.",27 de janeiro de 2020
MarcosS,"O app melhorou muito desde entao, contudo gostaria saber o porque nessas épocas de IPVA, DPVAT e IPTU ainda nao é possível fazer os pagamentos por aqui sendo que no caixa eletrônica é possível. Enche o saco ter que ir a bancos fazer pagamentos.",21 de janeiro de 2020
Roberto Araujo,"Péssimo, até a última utilização era perfeito, daria 5 estrelas fácil, mas depois da última atualização ficou horrível, foi bloqueado o pagamento de boletos via aplicativo.",24 de janeiro de 2020
Zilda Cristina,"muito bom, prático. No entanto poderia ter como atualizar o cadastro via aplicativo tipo poder encaminhar comprovante de renda atualizado via app. Bem como ter emails de contato bb.",21 de janeiro de 2020
Um usuário do Google,"Péssimo. Há dias, estou tentando cadastrar o meu smartfone para acessar o gerenciador financeiro pelo app, mas não consigo. Já habilitei o BB Code diversas vezes. É um erro cíclico, não sai disso.",20 de janeiro de 2020
Jose Oliveira,"Habilitei o BB code no meu smartphone, mas quando capturo o qrcode da transação na na tela do meu computador aparece uma mensagem de erro e não consigo fazer a transação. Já estou usando a última versão do app BB de 10/01/20.",22 de janeiro de 2020
Larisse Alves,"Nao da pra acreditar nesse app, pois sempre pede esse Codi QR e nunca da exito, pede sempre pra atualizar o app e outra chatice e a questao de transacoes bancarias pedir pra ir no terminal eletronico desbloquear senhas para poder fazer o uso de cada uso. Chatice!!!!!",25 de janeiro de 2020
Francielly Holanda,"Ótimo, amando todas funções, mas a opção de parcelamento de empréstimo em 24 vezes, deveria ter opções desde 01, 02, 03, 04,05... E assim, sucessivamente.",22 de janeiro de 2020
Náiade Saviotti,Quando vamos gerar o comprovante de transferência. O aplicativos abre duas vezes as opções de comprovante por imagem/pdf e duas vezes opção de compartilhar. Não poderia ser somente uma vez?,23 de janeiro de 2020
